id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_61_2025_3,VIA61,nON_PckSt,Pickering Station,st_ON_PckSt_4,T4,stON_KgnSub_0_ON_PckSt_1,T1,down,,11:27:06,,stop,ou_2_1,D7,,,,E8903,4188,Union Station,Union Station,1,16:09:30,16:09:00,284.0,760.0,,1900-10-09 00:00:00,759.0,,
tp_0_61_2025_3,VIA61,nON_DrhJct,Durham Jct/Pickering Jct,,,stON_KgnSub_0_ON_DrhJct_1,T2,down,,11:28:36,,pass,ou_2_1,D7,,,,5720,4245,Union Station,Union Station,1,23:00:12,23:00:00,401.0,19030.0,Same Direction,1901-02-03 00:00:00,19029.0,,
tp_0_61_2025_3,VIA61,nON_DrhWJct,Durham Junction West,,,stON_KgnSub_0_ON_DrhWJct_1,T1,down,,11:30:06,,pass,ou_2_1,D7,,PARTIAL,,5700,4165,Union Station,Union Station,1,13:00:12,13:00:00,627.0,9696.0,Head On,1901-09-17 00:00:00,9695.0,,
tp_0_61_2025_3,VIA61,nON_RghSt,Rouge Hill Station,st_ON_RghSt_2,T2,stON_KgnSub_0_ON_RghSt_1,T2,down,,11:32:54,,pass,ou_2_1,D7,,,,4253,4252,King-Liberty Station,King-Liberty Station,T3,00:03:54,00:04:42,1045.0,1058.0,Head On,1902-11-09 00:00:00,1057.0,,
tp_0_61_2025_3,VIA61,nON_CroSwt,Crompton Switch,,,stON_KgnSub_0_ON_CroSwt_2,T1,down,,11:34:30,,pass,ou_2_1,D7,,,,4255,4254,King-Liberty Station,King-Liberty Station,T3,00:18:54,00:19:42,1234.0,1250.0,Head On,1903-05-17 00:00:00,1249.0,,1 LSW
tp_0_61_2025_3,VIA61,nON_MaV,Manse Valley,,,stON_KgnSub_0_ON_MaV_1,T2,down,,11:35:00,,pass,ou_2_1,D7,,,,4257,4256,King-Liberty Station,King-Liberty Station,T3,00:33:54,00:34:42,1411.0,1423.0,Head On,1903-11-10 00:00:00,1422.0,,2MIL
tp_0_61_2025_3,VIA61,nON_GldSt,Guildwood Station,,,stON_KgnSub_0_ON_GldSt_0,T3,down,,11:35:30,,pass,ou_2_1,D7,,,,4259,4258,King-Liberty Station,King-Liberty Station,T3,00:48:54,00:49:42,1588.0,1599.0,Head On,1904-05-05 00:00:00,1598.0,,3KIT
tp_0_61_2025_3,VIA61,nON_EglSt,Eglinton Station,st_ON_EglSt_3,T3,stON_KgnSub_0_ON_EglSt_1,T3,down,,11:37:36,,pass,ou_2_1,D7,,,,E8332,4260,St. Clair West Station,St. Clair West Station,T4,00:59:30,01:00:12,1703.0,1708.0,Same Direction,1904-08-28 00:00:00,1707.0,,4UPE
tp_0_61_2025_3,VIA61,nON_Mid,Midland,,,stON_KgnSub_0_ON_Mid_1,T3,down,,11:37:48,,pass,ou_2_1,D7,,,,4261,4260,King-Liberty Station,King-Liberty Station,T3,01:03:54,01:04:42,1753.0,1763.0,Head On,1904-10-17 00:00:00,1762.0,,5RH
tp_0_61_2025_3,VIA61,nON_ScegStor,Sceglinton Layover,st_ON_ScegStor_4,T3,stON_KgnSub_0_ON_ScegStor_1,T3,down,,11:38:24,,pass,ou_2_1,D7,,,,4261,E8403,Woodbine Station,Woodbine Station,T3,01:18:54,01:19:24,1885.0,1894.0,Head On,1905-02-26 00:00:00,1893.0,,6BAR
